amount,payment_date,return_date,rental_date,first_name,last_name,address,title,rating,length,language,string_agg
4.99,2020-01-24 22:47:53.996577+00,2005-05-30 04:44:27+00,2005-05-24 23:19:27+00,DEANNA,BYRD,862 Xintai Lane,GAMES BOWFINGER,PG-13,119,English             ,"BURTPOSEY,RIPWINSLET,HUMPHREYWILLIS,MARYKEITEL,ANGELAHUDSON,JULIAMCQUEEN,MATTHEWLEIGH,FRANCESTOMEI"
6.99,2020-01-24 22:51:21.996577+00,2005-05-30 03:28:55+00,2005-05-24 23:22:55+00,RAYMOND,MCWHORTER,503 Sogamoso Loop,KING EVOLUTION,NC-17,184,English             ,"MARYKEITEL,LUCILLETRACY,PENELOPEGUINESS,RENEEBALL,CUBAALLEN,BURTDUKAKIS"
0.99,2020-01-24 22:59:41.996577+00,2005-05-26 01:56:15+00,2005-05-24 23:31:15+00,THEODORE,CULP,1704 Tambaram Manor,MONTEREY LABYRINTH,G,158,English             ,"JULIAMCQUEEN,KARLBERRY,ROCKDUKAKIS,FAYWOOD,JULIANNEDENCH,DANHARRIS"
9.99,2020-01-24 23:07:48.996577+00,2005-06-03 02:30:22+00,2005-05-24 23:39:22+00,RONALD,WEINER,1145 Vilnius Manor,PELICAN COMFORTS,PG,48,English             ,"GROUCHOSINATRA,RUSSELLTEMPLE,BOBFAWCETT,WHOOPIHURT,JULIABARRYMORE"
4.99,2020-01-24 23:11:37.996577+00,2005-05-26 03:42:11+00,2005-05-24 23:43:11+00,STEVEN,CURLEY,651 Pathankot Loop,BOOGIE AMELIE,R,121,English             ,"NICKDEGENERES,GENEMCKELLEN,KEVINBLOOM,MERYLALLEN,JODIEDEGENERES,GROUCHOSINATRA"
2.99,2020-01-24 23:35:02.996577+00,2005-05-26 23:43:36+00,2005-05-25 00:06:36+00,ISAAC,OGLESBY,186 Skikda Lane,CONTACT ANONYMOUS,PG-13,166,English             ,"MORGANHOPKINS,MENATEMPLE,CHRISTOPHERBERRY,EWANGOODING,OLYMPIAPFEIFFER"
0.99,2020-01-24 23:39:13.996577+00,2005-05-31 05:35:47+00,2005-05-25 00:10:47+00,RUTH,MARTINEZ,1417 Lancaster Avenue,ROMAN PUNK,NC-17,81,English             ,"JIMMOSTEL,WARRENNOLTE"
4.99,2020-01-24 23:45:50.996577+00,2005-05-31 05:00:24+00,2005-05-25 00:17:24+00,RONNIE,RICKETTS,1889 Valparai Way,HOLLOW JEOPARDY,NC-17,136,English             ,"EMILYDEE,JULIAZELLWEGER"
2.99,2020-01-25 00:17:07.996577+00,2005-05-27 01:20:41+00,2005-05-25 00:48:41+00,ROBERTA,HARPER,927 Barcelona Street,SCISSORHANDS SLUMS,G,147,English             ,"ROCKDUKAKIS,HELENVOIGHT,GRACEMOSTEL,JULIABARRYMORE,JANEJACKMAN"
4.99,2020-01-25 00:28:12.996577+00,2005-05-26 00:01:46+00,2005-05-25 00:59:46+00,CRAIG,MORRELL,717 Changzhou Lane,APACHE DIVINE,NC-17,92,English             ,"CUBAOLIVIER,HENRYBERRY,ANNECRONYN,NICKWAHLBERG"
4.99,2020-01-25 00:47:49.996577+00,2005-05-26 03:52:23+00,2005-05-25 01:19:23+00,RAUL,FORTIER,1747 Rustenburg Place,CLOSER BANG,R,58,English             ,"GRETAMALDEN,KIRSTENPALTROW,RUSSELLTEMPLE,JODIEDEGENERES,EDGUINESS,JULIAFAWCETT"
4.99,2020-01-25 01:08:47.996577+00,2005-05-29 05:34:21+00,2005-05-25 01:40:21+00,BARRY,LOVELACE,1836 Korla Parkway,WHALE BIKINI,PG-13,109,English             ,"EDCHASE,AUDREYOLIVIER,HENRYBERRY,RIPWINSLET,GREGORYGOODING"
4.99,2020-01-25 01:21:28.996577+00,2005-05-27 00:15:02+00,2005-05-25 01:53:02+00,JUAN,FRALEY,469 Nakhon Sawan Street,REDS POCUS,PG-13,182,English             ,"WARRENNOLTE,JODIEDEGENERES,JENNIFERDAVIS,CHRISBRIDGES,SPENCERPECK"
0.99,2020-01-25 01:49:46.996577+00,2005-05-27 20:25:20+00,2005-05-25 02:21:20+00,PAMELA,BAKER,1440 Fukuyama Loop,SUN CONFESSIONS,R,141,English             ,"DANTORN,CATEHARRIS,SYLVESTERDERN,LUCILLETRACY,JADARYDER"
3.99,2020-01-25 02:05:16.996577+00,2005-05-30 23:34:50+00,2005-05-25 02:36:50+00,BILLY,POULIN,1061 Ede Avenue,WAIT CIDER,PG-13,112,English             ,"JULIAFAWCETT,KIMALLEN,JAYNENOLTE,OLYMPIAPFEIFFER,BURTTEMPLE,KEVINGARLAND,MICHELLEMCCONAUGHEY,WOODYHOFFMAN,ANGELAWITHERSPOON"
4.99,2020-01-25 02:10:16.996577+00,2005-05-30 00:13:50+00,2005-05-25 02:41:50+00,ROBERT,BAUGHMAN,1883 Maikop Lane,EASY GLADIATOR,G,148,English             ,"FREDCOSTNER,MATTHEWLEIGH,EDMANSFIELD"
4.99,2020-01-25 02:11:03.996577+00,2005-05-26 08:26:37+00,2005-05-25 02:42:37+00,CONSTANCE,REID,885 Yingkou Manor,THIEF PELICAN,PG-13,135,English             ,"JAYNENOLTE,KIRSTENPALTROW,JOHNNYCAGE,JAMESPITT,WARRENNOLTE,HARRISONBALE,RENEETRACY"
0.99,2020-01-25 02:15:38.996577+00,2005-05-29 23:31:12+00,2005-05-25 02:47:12+00,MARIE,TURNER,1998 Halifax Drive,CHAINSAW UPTOWN,PG,114,English             ,"NICKWAHLBERG,GENEHOPKINS"
2.99,2020-01-25 02:29:58.996577+00,2005-05-30 02:12:32+00,2005-05-25 03:01:32+00,RAY,HOULE,740 Udaipur Lane,SONG HEDWIG,PG-13,165,English             ,"KENNETHPESCI,DEBBIEAKROYD,GREGORYGOODING,JOHNSUVARI,KEVINGARLAND"
4.99,2020-01-25 02:33:43.996577+00,2005-05-30 06:15:17+00,2005-05-25 03:05:17+00,FRED,WHEAT,433 Florencia Street,WITCHES PANIC,NC-17,100,English             ,"WALTERTORN,SPENCERDEPP,RALPHCRUZ,REESEWEST"
0.99,2020-01-25 02:34:47.996577+00,2005-05-25 22:55:21+00,2005-05-25 03:06:21+00,JOY,GEORGE,1256 Bislig Boulevard,STALLION SUNDANCE,PG-13,130,English             ,"TOMMCKELLEN,JONCHASE,KEVINGARLAND,KENNETHPESCI,WOODYJOLIE,RIPWINSLET,VALBOLGER"
0.99,2020-01-25 02:47:17.996577+00,2005-05-27 02:58:51+00,2005-05-25 03:18:51+00,KAY,CALDWELL,85 San Felipe de Puerto Plata Drive,GOLDMINE TYCOON,R,153,English             ,"HUMPHREYWILLIS,SANDRAKILMER,MAEHOFFMAN,ALBERTNOLTE,DARYLCRAWFORD,GEOFFREYHESTON,JOHNSUVARI"
2.99,2020-01-25 02:47:54.996577+00,2005-05-28 23:10:28+00,2005-05-25 03:19:28+00,FREDDIE,DUGGAN,1103 Quilmes Boulevard,MICROCOSMOS PARADISE,PG-13,105,English             ,"MENATEMPLE,KEVINGARLAND,GRETAMALDEN,JONCHASE,HELENVOIGHT,ELLENPRESLEY"
4.99,2020-01-25 02:53:02.996577+00,2005-05-27 06:02:36+00,2005-05-25 03:24:36+00,ROBERTO,VU,1297 Alvorada Parkway,ENEMY ODDS,NC-17,77,English             ,"LIZABERGMAN,EWANGOODING,VIVIENBERGEN,BELAWALKEN"
2.99,2020-01-25 03:04:52.996577+00,2005-05-28 23:31:26+00,2005-05-25 03:36:26+00,BONNIE,HUGHES,1942 Ciparay Parkway,ESCAPE METROPOLIS,R,167,English             ,"NATALIEHOPKINS,FRANCESTOMEI,EDMANSFIELD,JOHNNYLOLLOBRIGIDA"
0.99,2020-01-25 03:12:57.996577+00,2005-05-29 00:03:31+00,2005-05-25 03:44:31+00,JAVIER,ELROD,195 Ilorin Street,BORROWERS BEDAZZLED,G,63,English             ,"KIRKJOVOVICH,CUBAOLIVIER,ELVISMARX,SCARLETTDAMON,DARYLCRAWFORD,HARVEYHOPE,JONCHASE"
4.99,2020-01-25 03:16:10.996577+00,2005-05-31 23:58:44+00,2005-05-25 03:47:44+00,MICHAEL,SILVERMAN,1908 Gaziantep Place,MANCHURIAN CURTAIN,PG,177,English             ,"ALBERTNOLTE,RAYJOHANSSON"
0.99,2020-01-25 03:20:12.996577+00,2005-05-31 02:14:46+00,2005-05-25 03:51:46+00,GERTRUDE,CASTILLO,850 Salala Loop,WIND PHANTOM,R,111,English             ,"RENEEBALL,EDGUINESS,CHARLIZEDENCH"
4.99,2020-01-25 03:37:30.996577+00,2005-05-27 22:12:04+00,2005-05-25 04:09:04+00,MARVIN,YEE,126 Acua Parkway,MINDS TRUMAN,PG-13,149,English             ,"CHRISDEPP,SCARLETTDAMON,JULIAZELLWEGER,MATTHEWCARREY,BURTPOSEY,ANNECRONYN"
5.99,2020-01-25 03:40:55.996577+00,2005-06-01 23:28:29+00,2005-05-25 04:12:29+00,YVONNE,WATKINS,1848 Salala Boulevard,GRIT CLOCKWORK,PG,137,English             ,"CAMERONZELLWEGER,KEVINGARLAND,GEOFFREYHESTON"
4.99,2020-01-25 03:53:24.996577+00,2005-05-31 01:47:58+00,2005-05-25 04:24:58+00,HARVEY,GUAJARDO,600 Purnea (Purnia) Avenue,BOILED DARES,PG,102,English             ,"TIMHACKMAN,GREGORYGOODING,MORGANHOPKINS,JULIAFAWCETT,JIMMOSTEL,PENELOPEPINKETT,NICKSTALLONE,DANTORN"
2.99,2020-01-25 04:07:51.996577+00,2005-05-26 05:54:25+00,2005-05-25 04:39:25+00,NEIL,RENNER,1817 Livorno Way,MASSAGE IMAGE,PG,161,English             ,"ALANDREYFUSS,RIPCRAWFORD,KEVINBLOOM,KENNETHHOFFMAN,CATEMCQUEEN,KIRSTENAKROYD,MORGANWILLIAMS,CHARLIZEDENCH,SCARLETTDAMON"
0.99,2020-01-25 04:21:49.996577+00,2005-05-29 09:56:23+00,2005-05-25 04:53:23+00,GERTRUDE,CASTILLO,850 Salala Loop,PIRATES ROXANNE,PG,100,English             ,HUMPHREYWILLIS
7.99,2020-01-25 04:28:05.996577+00,2005-06-02 08:56:39+00,2005-05-25 04:59:39+00,TROY,QUIGLEY,983 Santa F Way,HARRY IDAHO,PG-13,121,English             ,"MORGANHOPKINS,JAYNESILVERSTONE,LUCILLEDEE,FAYKILMER,MATTHEWCARREY,CAMERONZELLWEGER"
5.99,2020-01-25 04:32:34.996577+00,2005-06-02 07:18:08+00,2005-05-25 05:04:08+00,MARIA,MILLER,900 Santiago de Compostela Parkway,RIDGEMONT SUBMARINE,PG-13,46,English             ,"MICHAELBOLGER,WHOOPIHURT,JOHNNYLOLLOBRIGIDA,JULIANNEDENCH,JULIAFAWCETT"
3.99,2020-01-25 04:33:46.996577+00,2005-05-30 02:04:20+00,2005-05-25 05:05:20+00,VIRGINIA,GREEN,391 Callao Drive,JAWS HARRY,G,112,English             ,"PARKERGOLDBERG,GRETAKEITEL,MINNIEZELLWEGER,HELENVOIGHT,LUCILLETRACY"
1.99,2020-01-25 04:49:12.996577+00,2005-06-02 04:42:46+00,2005-05-25 05:20:46+00,JENNY,CASTRO,1405 Chisinau Place,GUN BONNIE,G,100,English             ,"BURTDUKAKIS,MATTHEWCARREY,WILLWILSON,IANTANDY,GROUCHOSINATRA"
2.99,2020-01-25 05:08:01.996577+00,2005-05-30 09:12:35+00,2005-05-25 05:39:35+00,GENE,SANBORN,1416 San Juan Bautista Tuxtepec Avenue,PACIFIC AMISTAD,G,144,English             ,"JOESWANK,DUSTINTAUTOU,ANGELINAASTAIRE,SUSANDAVIS,CATEMCQUEEN,JOHNNYLOLLOBRIGIDA,EDGUINESS,HUMPHREYGARLAND"
2.99,2020-01-25 05:13:19.996577+00,2005-05-28 10:28:53+00,2005-05-25 05:44:53+00,CAROL,GARCIA,320 Brest Avenue,HOPE TOOTSIE,NC-17,139,English             ,"GREGCHAPLIN,JULIAFAWCETT,JANEJACKMAN,RENEETRACY"
4.99,2020-01-25 05:17:36.996577+00,2005-05-26 05:42:10+00,2005-05-25 05:49:10+00,MABEL,HOLLAND,51 Laredo Avenue,ELF MURDER,NC-17,155,English             ,"CAMERONWRAY,ALBERTJOHANSSON,WARRENNOLTE,GENEHOPKINS,AUDREYBAILEY"
0.99,2020-01-25 05:19:55.996577+00,2005-05-31 00:27:29+00,2005-05-25 05:51:29+00,EDGAR,RHOADS,1269 Ipoh Avenue,TALENTED HOMICIDE,PG,173,English             ,"MINNIEZELLWEGER,JADARYDER,BURTDUKAKIS,NICKSTALLONE,JANEJACKMAN"
4.99,2020-01-25 05:47:42.996577+00,2005-05-27 04:19:16+00,2005-05-25 06:19:16+00,DAVE,GARDINER,1052 Pathankot Avenue,ELEPHANT TROJAN,PG-13,126,English             ,"PENELOPEGUINESS,GINADEGENERES,VALBOLGER,CAMERONSTREEP,HARRISONBALE"
4.99,2020-01-25 05:51:51.996577+00,2005-06-01 04:05:25+00,2005-05-25 06:23:25+00,TONI,HOLT,1936 Cuman Avenue,MUSKETEERS WAIT,PG,73,English             ,BENHARRIS
2.99,2020-01-25 06:54:39.996577+00,2005-05-30 09:57:13+00,2005-05-25 07:26:13+00,MONICA,HICKS,1752 So Leopoldo Parkway,DREAM PICKUP,PG,135,English             ,"MILLAPECK,JONCHASE,HUMPHREYWILLIS,JODIEDEGENERES"
2.99,2020-01-25 06:56:37.996577+00,2005-05-26 13:21:11+00,2005-05-25 07:28:11+00,CHESTER,BENNER,1574 Goinia Boulevard,EYES DRIVING,PG-13,172,English             ,"MICHAELBENING,DANHARRIS,RENEETRACY,FAYWINSLET,JAYNESILVERSTONE"
4.99,2020-01-25 07:11:58.996577+00,2005-05-29 05:42:32+00,2005-05-25 07:43:32+00,JENNIFER,DAVIS,1795 Santiago de Compostela Way,SUBMARINE BED,R,127,English             ,"SCARLETTBENING,GREGORYGOODING,MARYKEITEL,WARRENJACKMAN,GROUCHODUNST,SIDNEYCROWE,SEANGUINESS,RALPHCRUZ,CHRISTIANAKROYD,PENELOPEPINKETT,JENNIFERDAVIS"
4.99,2020-01-25 07:21:40.996577+00,2005-05-28 13:40:14+00,2005-05-25 07:53:14+00,MATTHEW,MAHAN,479 San Felipe del Progreso Avenue,PELICAN COMFORTS,PG,48,English             ,"WHOOPIHURT,RUSSELLTEMPLE,BOBFAWCETT,JULIABARRYMORE,GROUCHOSINATRA"
5.99,2020-01-25 07:25:08.996577+00,2005-06-01 08:52:42+00,2005-05-25 07:56:42+00,MANUEL,MURRELL,692 Amroha Drive,OCTOBER SUBMARINE,PG-13,54,English             ,"GRACEMOSTEL,SEANGUINESS,LIZABERGMAN,EMILYDEE,CAMERONWRAY"
2.99,2020-01-25 07:26:51.996577+00,2005-05-30 13:14:25+00,2005-05-25 07:58:25+00,GORDON,ALLARD,434 Ourense (Orense) Manor,BINGO TALENTED,PG-13,150,English             ,"JONCHASE,GOLDIEBRODY,CAMERONWRAY,CARYMCCONAUGHEY,RENEEBALL"
5.99,2020-01-25 07:30:23.996577+00,2005-06-02 06:22:57+00,2005-05-25 08:01:57+00,JO,FOWLER,786 Stara Zagora Way,TRUMAN CRAZY,G,92,English             ,"GENEHOPKINS,BURTDUKAKIS,CARMENHUNT,MARYTANDY,JESSICABAILEY,SIDNEYCROWE"
2.99,2020-01-25 07:47:18.996577+00,2005-05-30 09:55:52+00,2005-05-25 08:18:52+00,CHAD,CARBONE,1948 Bayugan Parkway,BEACH HEARTBREAKERS,G,122,English             ,"HARVEYHOPE,WOODYHOFFMAN,NICKSTALLONE,MENATEMPLE,GENEWILLIS,BENWILLIS,FRANCESTOMEI"
0.99,2020-01-25 07:47:42.996577+00,2005-05-27 03:24:16+00,2005-05-25 08:19:16+00,MARTIN,BALES,368 Hunuco Boulevard,SWEETHEARTS SUSPECTS,G,108,English             ,"HELENVOIGHT,JOESWANK,JAYNENOLTE,JULIAMCQUEEN,BENWILLIS"
5.99,2020-01-25 07:49:55.996577+00,2005-06-03 10:31:29+00,2005-05-25 08:21:29+00,HARRY,ARCE,1922 Miraj Way,ALLEY EVOLUTION,NC-17,180,English             ,"JUDECRUISE,JOHNSUVARI,ALBERTJOHANSSON,GREGORYGOODING,KARLBERRY"
4.99,2020-01-25 08:00:29.996577+00,2005-05-29 13:21:03+00,2005-05-25 08:32:03+00,ARTHUR,SIMPKINS,1157 Nyeri Loop,SECRET GROUNDHOG,PG,90,English             ,"MAEHOFFMAN,FAYKILMER,ANGELAWITHERSPOON"
0.99,2020-01-25 08:09:27.996577+00,2005-05-27 12:46:01+00,2005-05-25 08:41:01+00,SHERRY,MARSHALL,1987 Coacalco de Berriozbal Loop,BANGER PINOCCHIO,R,113,English             ,"AUDREYBAILEY,JOHNNYLOLLOBRIGIDA,GENEWILLIS,LUCILLETRACY,DUSTINTAUTOU,JAYNENEESON"
7.99,2020-01-25 08:15:57.996577+00,2005-05-31 09:20:31+00,2005-05-25 08:47:31+00,SYLVIA,ORTIZ,241 Mosul Lane,TEEN APOLLO,G,74,English             ,"CARMENHUNT,MILLAPECK,NICKSTALLONE,RIVERDEAN,GREGCHAPLIN"
2.99,2020-01-25 08:38:40.996577+00,2005-05-27 13:02:14+00,2005-05-25 09:10:14+00,RICHARD,MCCRARY,913 Coacalco de Berriozbal Loop,PURPLE MOVIE,R,88,English             ,"AUDREYBAILEY,MICHAELBENING,CHRISBRIDGES,DARYLCRAWFORD,FRANCESDAY-LEWIS,MENAHOPPER,FAYWOOD,TOMMCKELLEN"
2.99,2020-01-25 08:43:49.996577+00,2005-05-27 04:56:23+00,2005-05-25 09:15:23+00,BEVERLY,BROOKS,1947 Poos de Caldas Boulevard,INVASION CYCLONE,PG,97,English             ,"RENEETRACY,WOODYJOLIE,JAYNENOLTE,EMILYDEE,FRANCESTOMEI,SCARLETTBENING,EDGUINESS"
0.99,2020-01-25 08:55:05.996577+00,2005-05-28 03:59:39+00,2005-05-25 09:26:39+00,ROBIN,HAYES,1913 Kamakura Place,LOATHING LEGALLY,R,140,English             ,"AUDREYOLIVIER,GARYPHOENIX,MORGANHOPKINS,SUSANDAVIS,GRETAKEITEL"
0.99,2020-01-25 09:20:39.996577+00,2005-05-28 04:52:13+00,2005-05-25 09:52:13+00,ANN,EVANS,909 Garland Manor,JUGGLER HARDLY,PG-13,54,English             ,"EWANGOODING,MERYLGIBSON,MILLAPECK,CAMERONZELLWEGER,PENELOPEPINKETT,PENELOPEMONROE,SALMANOLTE,EDGUINESS,MORGANWILLIAMS"
4.99,2020-01-25 09:28:33.996577+00,2005-06-01 12:56:07+00,2005-05-25 10:00:07+00,CLARENCE,GAMEZ,767 Pyongyang Drive,CAMELOT VACATION,NC-17,61,English             ,"JUDECRUISE,ALBERTNOLTE"
0.99,2020-01-25 09:38:14.996577+00,2005-05-26 11:23:48+00,2005-05-25 10:09:48+00,JENNIE,TERRY,682 Halisahar Place,GREEDY ROOTS,R,166,English             ,"WARRENNOLTE,MARYKEITEL,RENEEBALL,ALANDREYFUSS,JENNIFERDAVIS,FAYWOOD,GARYPENN,HARRISONBALE"
8.99,2020-01-25 09:42:00.996577+00,2005-06-03 11:58:34+00,2005-05-25 10:13:34+00,BEN,EASTER,886 Tonghae Place,ROSES TREASURE,PG-13,162,English             ,"HUMPHREYGARLAND,BURTTEMPLE,MARYKEITEL,CUBAOLIVIER,MORGANWILLIAMS"
2.99,2020-01-25 09:59:03.996577+00,2005-06-03 11:00:37+00,2005-05-25 10:30:37+00,MARY,SMITH,1913 Hanoi Way,PATIENT SISTER,NC-17,99,English             ,"SEANGUINESS,VALBOLGER,MILLAKEITEL,LUCILLETRACY"
0.99,2020-01-25 10:00:25.996577+00,2005-05-26 15:53:59+00,2005-05-25 10:31:59+00,JIM,REA,814 Simferopol Loop,ENTRAPMENT SATISFACTION,R,176,English             ,"FREDCOSTNER,WOODYHOFFMAN,FRANCESDAY-LEWIS,PENELOPECRONYN"
5.99,2020-01-25 10:03:44.996577+00,2005-05-31 11:48:18+00,2005-05-25 10:35:18+00,JUANITA,MASON,943 Johannesburg Avenue,THIEF PELICAN,PG-13,135,English             ,"RENEETRACY,JAYNENOLTE,WARRENNOLTE,JAMESPITT,HARRISONBALE,JOHNNYCAGE,KIRSTENPALTROW"
4.99,2020-01-25 10:39:33.996577+00,2005-06-03 09:54:07+00,2005-05-25 11:11:07+00,COURTNEY,DAY,300 Junan Street,RESERVOIR ADAPTATION,PG-13,61,English             ,"SCARLETTBENING,CHRISTIANAKROYD,JESSICABAILEY,JIMMOSTEL,MORGANHOPKINS,KIMALLEN,JONCHASE,GENEMCKELLEN"
5.99,2020-01-25 10:40:33.996577+00,2005-05-31 16:46:07+00,2005-05-25 11:12:07+00,GEORGE,LINTON,1957 Yantai Lane,MADIGAN DORADO,R,116,English             ,"MILLAKEITEL,GENEMCKELLEN,JONCHASE,KIRSTENAKROYD,MINNIEZELLWEGER,RAYJOHANSSON"
6.99,2020-01-25 10:43:45.996577+00,2005-06-02 13:08:19+00,2005-05-25 11:15:19+00,VELMA,LUCAS,1155 Liaocheng Place,METROPOLIS COMA,PG-13,64,English             ,"JIMMOSTEL,GENEWILLIS,RAYJOHANSSON,CUBAALLEN,VALBOLGER,DUSTINTAUTOU"
6.99,2020-01-25 10:46:12.996577+00,2005-06-01 09:48:46+00,2005-05-25 11:17:46+00,JESUS,MCCARTNEY,259 Ipoh Drive,FARGO GANDHI,G,130,English             ,"MICHELLEMCCONAUGHEY,MORGANWILLIAMS,SCARLETTDAMON,CHRISTOPHERWEST,KENNETHPESCI"
4.99,2020-01-25 10:58:41.996577+00,2005-05-27 14:40:15+00,2005-05-25 11:30:15+00,MONICA,HICKS,1752 So Leopoldo Parkway,BUCKET BROTHERHOOD,PG,133,English             ,"GARYPHOENIX,CHARLIZEDENCH,KIRSTENAKROYD,BURTTEMPLE,RIPCRAWFORD,TIMHACKMAN"
2.99,2020-01-25 11:04:56.996577+00,2005-05-29 17:33:30+00,2005-05-25 11:36:30+00,LESTER,KRAUS,1013 Tabuk Boulevard,HANKY OCTOBER,NC-17,107,English             ,"LISAMONROE,RICHARDPENN,OLYMPIAPFEIFFER"
4.99,2020-01-25 11:34:00.996577+00,2005-05-29 15:53:34+00,2005-05-25 12:05:34+00,VINCENT,RALSTON,397 Sunnyvale Avenue,BUCKET BROTHERHOOD,PG,133,English             ,"GARYPHOENIX,RIPCRAWFORD,KIRSTENAKROYD,BURTTEMPLE,TIMHACKMAN,CHARLIZEDENCH"
1.99,2020-01-25 12:04:38.996577+00,2005-05-30 13:53:12+00,2005-05-25 12:36:12+00,NORA,HERRERA,1587 Loja Manor,JUMPING WRATH,NC-17,74,English             ,"ALANDREYFUSS,CATEHARRIS,SALMANOLTE,SUSANDAVIS,JAMESPITT,ANGELAHUDSON,SANDRAKILMER,ELVISMARX"
0.99,2020-01-25 12:21:09.996577+00,2005-05-29 10:12:43+00,2005-05-25 12:52:43+00,ERIC,ROBERT,430 Kumbakonam Drive,GANDHI KWAI,PG-13,86,English             ,"ZEROCAGE,PENELOPEPINKETT,ANNECRONYN,DARYLCRAWFORD,GINADEGENERES,MEGHAWKE,ANGELINAASTAIRE,LUCILLETRACY"
3.99,2020-01-25 12:42:20.996577+00,2005-05-29 08:32:54+00,2005-05-25 13:13:54+00,HEATHER,MORRIS,17 Kabul Boulevard,JEEPERS WEDDING,R,84,English             ,"CHRISTIANGABLE,WOODYJOLIE,CHRISTOPHERBERRY,JULIANNEDENCH,MINNIEKILMER,EDCHASE"
2.99,2020-01-25 12:56:55.996577+00,2005-05-29 13:33:29+00,2005-05-25 13:28:29+00,MARC,OUTLAW,1 Valle de Santiago Avenue,ISLAND EXORCIST,NC-17,84,English             ,"DARYLCRAWFORD,ANGELAHUDSON,RAYJOHANSSON"
7.99,2020-01-25 12:59:51.996577+00,2005-06-01 09:07:25+00,2005-05-25 13:31:25+00,DEBORAH,WALKER,934 San Felipe de Puerto Plata Street,PANKY SUBMARINE,G,93,English             ,"JULIAZELLWEGER,SPENCERPECK,LIZABERGMAN,SALMANOLTE,MICHELLEMCCONAUGHEY,RIPWINSLET,RUSSELLBACALL,GROUCHODUNST"
6.99,2020-01-25 13:25:48.996577+00,2005-06-01 17:32:22+00,2005-05-25 13:57:22+00,MARGIE,WADE,1762 Paarl Parkway,ANTHEM LUKE,PG-13,91,English             ,"MILLAKEITEL,OPRAHKILMER"
